	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)
		1	1	1	1	2	2	2	2	3	3	3	3	6	6	6	6
		no tr	tr	no tr	tr	no tr	tr	no tr	tr	no tr	tr	no tr	tr	no tr	tr	no tr	tr
		no w	no w	w	w	no w	no w	w	w	no w	no w	w	w	no w	no w	w	w
VARIABLES	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate	mrate
																	
			(0.35)		(0.32)		(0.18)		(0.16)		(0.06)		(0.06)		(0.13)		(0.10)
_IstaXyear_19			0.20		0.25		-0.84		-0.83		0.33		0.36		0.42		0.44
			(0.18)		(0.17)		(0.09)		(0.08)		(0.03)		(0.03)		(0.07)		(0.05)
_IstaXyear_20			2.06		2.20		0.35		0.39		0.40		0.46		0.77		0.86
			(0.35)		(0.33)		(0.18)		(0.16)		(0.06)		(0.06)		(0.13)		(0.10)
_IstaXyear_21			1.86		1.96		0.38		0.39		0.20		0.26		0.54		0.62
			(0.35)		(0.32)		(0.18)		(0.16)		(0.06)		(0.06)		(0.13)		(0.10)
_IstaXyear_22			2.90		2.94		1.98		2.01		0.44		0.50		0.14		0.18
			(0.35)		(0.32)		(0.18)		(0.15)		(0.06)		(0.06)		(0.13)		(0.10)
_IstaXyear_23			1.98		2.10		1.07		1.03		0.01		0.11		0.55		0.70
			(0.50)		(0.47)		(0.26)		(0.23)		(0.08)		(0.09)		(0.19)		(0.15)
_IstaXyear_24			0.42		0.43		1.16		1.15		-0.17		-0.17		-0.12		-0.12
			(0.07)		(0.06)		(0.04)		(0.03)		(0.01)		(0.01)		(0.03)		(0.02)
_IstaXyear_25			1.23		1.30		0.80		0.79		-0.22		-0.16		0.42		0.48
			(0.29)		(0.28)		(0.15)		(0.13)		(0.05)		(0.05)		(0.11)		(0.09)
_IstaXyear_26			-0.32		-0.24		0.39		0.36		-0.07		0.03		-0.15		-0.03
			(0.59)		(0.56)		(0.31)		(0.27)		(0.09)		(0.11)		(0.22)		(0.17)
_IstaXyear_27			0.40		0.43		-0.18		-0.19		0.03		0.05		0.87		0.90
			(0.13)		(0.13)		(0.07)		(0.06)		(0.02)		(0.02)		(0.05)		(0.04)
_IstaXyear_28			0.76		0.92		0.21		0.30		-0.04		0.04		0.46		0.52
			(0.35)		(0.32)		(0.18)		(0.15)		(0.06)		(0.06)		(0.13)		(0.10)
_IstaXyear_29			1.06		1.19		-0.06		-0.04		0.05		0.12		0.63		0.71
			(0.35)		(0.32)		(0.18)		(0.16)		(0.06)		(0.06)		(0.13)		(0.10)
_IstaXyear_30			2.03		2.05		1.15		1.21		0.15		0.16		1.04		1.00
			(0.11)		(0.11)		(0.06)		(0.05)		(0.02)		(0.02)		(0.04)		(0.04)
_IstaXyear_31			0.51		0.62		-0.17		-0.18		-0.32		-0.26		0.56		0.62
			(0.37)		(0.35)		(0.20)		(0.17)		(0.06)		(0.07)		(0.14)		(0.11)
_IstaXyear_32			-3.56		-3.33		-2.54		-2.24		0.09		0.04		-0.10		-0.04
			(0.35)		(0.30)		(0.18)		(0.15)		(0.06)		(0.05)		(0.13)		(0.09)
_IstaXyear_33			2.00		2.13		1.33		1.41		-0.36		-0.33		1.47		1.50
			(0.27)		(0.27)		(0.14)		(0.13)		(0.04)		(0.05)		(0.10)		(0.08)
